30752,FLFL-EQ
13750,FLUOROCHEM-EQ
1190,FMGOETZE-EQ
21017,FMNL-EQ
11573,FORCEMOT-EQ
14592,FORTIS-EQ
1073,FOSECOIND-EQ
18378,FRETAIL-EQ
744,FSC-EQ
14304,FSL-EQ
1085,GABRIEL-EQ
8828,GAEL-EQ
4717,GAIL-EQ
20296,GAL-EQ
1315,GALAXYSURF-EQ
13337,GALLANTT-EQ
20140,GALLISPAT-EQ
15389,GAMMNINFRA-EQ
14116,GANDHITUBE-EQ
6944,GANECOS-EQ
14339,GANESHHOUC-EQ
21399,GANGESSECU-EQ
1097,GARDENSILK-EQ
1100,GARFIBRES-EQ
13688,GATI-EQ
3693,GAYAHWS-EQ
25023,GAYAPROJ-EQ
10114,GBGLOBAL-EQ
11735,GDL-EQ
13658,GEECEE-EQ
10905,GENESYS-EQ
6600,GENUSPAPER-EQ
11905,GENUSPOWER-EQ
11896,GEOJITFSL-EQ
7862,GEPIL-EQ
13776,GESHIP-EQ
16783,GET&D-EQ
1289,GFLLIMITED-EQ
11080,GFSTEELS-EQ
1127,GHCL-EQ
1139,GICHSGFIN-EQ
277,GICRE-EQ
17839,GILLANDERS-EQ
1576,GILLETTE-EQ
1142,GINNIFILA-EQ
1145,GIPCL-EQ
16996,GISOLUTION-EQ
17357,GKWLIMITED-EQ
1153,GLAXO-EQ
7406,GLENMARK-EQ
1156,GLFL-EQ
13735,GLOBALVECT-EQ
393,GLOBE-EQ
14572,GLOBOFFS-EQ
17424,GLOBUSSPR-EQ
1168,GMBREW-EQ
5204,GMDCLTD-EQ
1570,GMMPFAUDLR-EQ
13528,GMRINFRA-EQ
18571,GNA-EQ
1174,GNFC-EQ
14687,GOACARBON-EQ
3963,GOCLCORP-EQ
1181,GODFRYPHLP-EQ
144,GODREJAGRO-EQ
10099,GODREJCP-EQ
10925,GODREJIND-EQ
17875,GODREJPROP-EQ
11778,GOKEX-EQ
16705,GOKUL-EQ
14480,GOKULAGRO-EQ
14428,GOLDBEES-EQ
1255,GOLDENTOBC-EQ
11971,GOLDIAM-EQ
14535,GOLDSHARE-EQ
9874,GOLDTECH-EQ
6125,GOODLUCK-EQ
1205,GOODYEAR-EQ
13409,GPIL-EQ
19731,GPPL-EQ
17685,GPTINFRA-EQ
11872,GRANULES-EQ
592,GRAPHITE-EQ
1232,GRASIM-EQ
20534,GRAVITA-EQ
1235,GREAVESCOT-EQ
6848,GREENLAM-EQ
13810,GREENPANEL-EQ
3987,GREENPLY-EQ
20110,GREENPOWER-EQ
13560,GRINDWELL-EQ
17770,GROBTEA-EQ
6543,GRPLTD-EQ
5475,GRSE-EQ
29850,GSCLCEMENT-EQ
1247,GSFC-EQ
13197,GSPL-EQ
15347,GSS-EQ
1162,GTL-EQ
13745,GTLINFRA-EQ
1260,GTNIND-EQ
13473,GTNTEX-EQ
21195,GTPL-EQ
11606,GUFICBIO-EQ
1267,GUJALKALI-EQ
14677,GUJAPOLLO-EQ
10599,GUJGASLTD-EQ
4391,GULFOILLUB-EQ
11581,GULFPETRO-EQ
6286,GULPOLY-EQ
13226,GVKPIL-EQ
2303,HAL-EQ
48,HAPPSTMNDS-EQ
17052,HARITASEAT-EQ
1313,HARRMALAYA-EQ
18154,HATHWAY-EQ
3892,HATSUN-EQ
9819,HAVELLS-EQ
22433,HBANKETF-EQ
13966,HBLPOWER-EQ
4116,HBSL-EQ
1375,HCC-EQ
15555,HCG-EQ
1327,HCL-INSYS-EQ
7229,HCLTECH-EQ
1330,HDFC-EQ
4244,HDFCAMC-EQ
1333,HDFCBANK-EQ
467,HDFCLIFE-EQ
19543,HDFCMFGETF-EQ
11591,HDFCNIFETF-EQ
11593,HDFCSENETF-EQ
1336,HEG-EQ
2316,HEIDELBERG-EQ
701,HEMIPROP-EQ
15288,HERCULES-EQ
4598,HERITGFOOD-EQ
1348,HEROMOTOCO-EQ
7048,HESTERBIO-EQ
21951,HFCL-EQ
1672,HGINFRA-EQ
14712,HGS-EQ
9668,HIKAL-EQ
1455,HIL-EQ
14627,HILTON-EQ
1360,HIMATSEIDE-EQ
1363,HINDALCO-EQ
1372,HINDCOMPOS-EQ
17939,HINDCOPPER-EQ
21676,HINDMOTORS-EQ
